ACADEMIC_PERIOD,CRN,SUBJECT,COURSE_NUMBER,SUBJECT_DESC,STATUS,STATUS_DESC,TITLE_SHORT_DESC,MIN_CREDITS,MAX_CREDITS,CAMPUS_DESC,MAXIMUM_ENROLLMENT,ACTUAL_ENROLLMENT,SEATS_AVAILABLE,PERCENTAGE_OF_RESPONSIBILITY,PRIMARY_INSTRUCTOR_FIRST_NAME,PRIMARY_INSTRUCTOR_LAST_NAME,SECTION,BEGIN_TIME,END_TIME,BUILDING,BUILDING_DESC,ROOM,COURSE_CAMPUS_DESC,MONDAY_IND,TUESDAY_IND,WEDNESDAY_IND,THURSDAY_IND,FRIDAY_IND,SATURDAY_IND,SUNDAY_IND,SECTION_CROSS_LIST,WAIT_CAPACITY,WAIT_AVAIL,PART_OF_TERM,SESSION,SECTION,SCHEDULE_TYPE,TOTAL_CREDITS_SECTION,GEN1_Attr,GEN2_Attr,GEN3_Attr,GEN4_Attr,GEN5_Attr
202108,10907,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,1,9,Athens,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,B,,DRE,0,,,,,
202208,10907,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,1,9,Athens,1,1,0,100,Michael,Usher,0,0001,2359,NCRR,No Classroom Required,NCRR,Athens,,,,,,,,,0,0,1,B,0,DRE,6,,,,,
202408,10907,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,6,6,Athens,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,B,,DRE,0,,,,,
202308,10907,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,6,6,Athens,4,1,3,100,Jingzhi,Tie,0,0001,2359,NCRR,No Classroom Required,NCRR,Athens,,,,,,,,,0,0,1,B,0,DRE,6,,,,,
202508,10907,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,9,9,Athens,1,1,0,100,Ming-Jun,Lai,0,0001,2359,NCRR,No Classroom Required,NCRR,Athens,,,,,,,,,0,0,1,B,0,DRE,9,,,,,
202208,10910,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,1,9,Athens,2,1,1,100,Jingzhi,Tie,0,0001,2359,NCRR,No Classroom Required,NCRR,Athens,,,,,,,,,0,0,1,B,0,DRE,6,,,,,
202108,10910,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,1,9,Athens,5,1,4,100,Laura,Rider,0,0001,2359,NCRR,No Classroom Required,NCRR,Athens,,,,,,,,,0,0,1,B,0,DRE,9,,,,,
202408,10910,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,6,6,Athens,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,B,,DRE,0,,,,,
202308,10910,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,6,6,Athens,4,1,3,100,Qing,Zhang,0,0001,2359,NCRR,No Classroom Required,NCRR,Athens,,,,,,,,,0,0,1,B,0,DRE,6,,,,,
202508,10910,MATH,9000,MATH - Mathematics,A,Active,Doctoral Research,6,6,Athens,5,1,4,100,Tomasz,Szarek,0,,,,,,,,,,,,,,,0,0,1,B,0,DRE,6,,,,,
